"link","course_id","course_name","term","time1"
"http://www.jhsph.edu/courses/course/22148/2015/700.601.01/foundations-of-bioethics","700.601.01","FOUNDATIONS OF BIOETHICS","1st","Thursday,  3:00-5:50pm"
"http://www.jhsph.edu/courses/course/22150/2015/700.603.01/moral-theory-for-bioethics","700.603.01","MORAL THEORY FOR BIOETHICS","1st","Wednesday,  3:00-5:50pm"
"http://www.jhsph.edu/courses/course/22149/2015/700.621.81/ethics-in-clinical-practice-fundamentals-problems-and-approaches","700.621.81","ETHICS IN CLINICAL PRACTICE: FUNDAMENTALS, PROBLEMS AND APPROACHES","1st",NA
"http://www.jhsph.edu/courses/course/22151/2015/700.622.01/bioethics-human-rights-and-global-health","700.622.01","BIOETHICS, HUMAN RIGHTS, AND GLOBAL HEALTH","1st","Friday,  1:30-3:20pm"
"http://www.jhsph.edu/courses/course/22184/2015/700.602.01/topics-in-bioethics","700.602.01","TOPICS IN BIOETHICS","2nd","Wednesday,  3:00-5:50pm"
"http://www.jhsph.edu/courses/course/22183/2015/700.604.01/methods-in-bioethics","700.604.01","METHODS IN BIOETHICS","2nd","Friday,  1:30-4:20pm"
"http://www.jhsph.edu/courses/course/22185/2015/700.623.01/ethics-of-healthcare-decision-making-theory-and-practice","700.623.01","ETHICS OF HEALTHCARE DECISION-MAKING: THEORY AND PRACTICE","2nd","Tuesday,  3:00-5:50pm"
"http://www.jhsph.edu/courses/course/22375/2015/700.630.01/global-food-ethics","700.630.01","GLOBAL FOOD ETHICS","3rd","Wednesday,  3:30-6:20pm"
"http://www.jhsph.edu/courses/course/22675/2015/700.631.01/social-justice-and-bioethics-contemporary-theories-general-issues-and-specific-applications","700.631.01","SOCIAL JUSTICE AND BIOETHICS: CONTEMPORARY THEORIES, GENERAL ISSUES, AND SPECIFIC APPLICATIONS","3rd","Thursday,  3:30-6:20pm"
"http://www.jhsph.edu/courses/course/22376/2015/700.632.01/ethics-policy-and-emerging-biomedical-technologies","700.632.01","ETHICS, POLICY, AND EMERGING BIOMEDICAL TECHNOLOGIES","3rd","Tuesday,  3:30-6:20pm"
"http://www.jhsph.edu/courses/course/22191/2015/700.624.01/bioethics-and-infectious-diseases-ethical-legal-and-human-rights-issues","700.624.01","BIOETHICS AND INFECTIOUS DISEASES: ETHICAL, LEGAL, AND HUMAN RIGHTS ISSUES","4th","Tuesday,  3:30-6:20pm"
"http://www.jhsph.edu/courses/course/22186/2015/700.625.01/bioethics-and-the-law","700.625.01","BIOETHICS AND THE LAW","4th","Monday,  5:30-8:00pm"
